Time(s),Torque1(A),Torque2(A),Steering_Angle(Degrees)
0.106007,0.00000000,0.00000000,875.000000
0.124132,0.00000000,0.00000000,875.000000
0.141453,0.00000000,0.00000000,875.000000
0.163767,0.00000000,0.00000000,875.000000
0.184002,0.00000000,0.00000000,875.000000
0.197078,0.00000000,0.00000000,875.000000
0.218929,0.00000000,0.00000000,875.000000
0.231429,0.00000000,0.00000000,875.000000
0.243383,0.00000000,0.00000000,875.000000
0.260384,0.00000000,0.00000000,875.000000
0.272443,0.00000000,0.00000000,875.000000
0.285694,0.00000000,0.00000000,875.000000
0.298484,0.00000000,0.00000000,875.000000
0.315581,0.00000000,0.00000000,875.000000
0.431777,0.00000000,0.00000000,875.000000
0.530660,0.00000000,0.00000000,875.000000
0.626857,0.00000000,0.00000000,875.000000
0.722671,0.00000000,0.00000000,875.000000
0.818732,0.00000000,0.00000000,875.000000
0.916921,0.00000000,0.00000000,875.000000
1.032351,0.00000000,0.00000000,875.000000
1.126273,0.00000000,0.00000000,875.000000
1.222908,0.00000000,0.00000000,875.000000
1.316419,0.00000000,0.00000000,875.000000
1.432604,0.00000000,0.00000000,875.000000
1.529407,0.00000000,0.00000000,875.000000
1.631222,0.00000000,0.00000000,875.000000
1.726041,0.00000000,0.00000000,875.000000
1.824564,0.00000000,0.00000000,875.000000
1.918886,0.00000000,0.00000000,875.000000
2.013313,0.00000000,0.00000000,875.000000
2.113937,0.00000000,0.00000000,875.000000
2.230246,0.00000000,0.00000000,875.000000
2.324389,0.00000000,0.00000000,875.000000
2.421482,0.00000000,0.00000000,875.000000
2.521710,0.00000000,0.00000000,875.000000
2.619663,0.00000000,0.00000000,875.000000
2.718424,0.00000000,0.00000000,875.000000
2.826146,0.00000000,0.00000000,875.000000
2.921456,0.00000000,0.00000000,875.000000
3.017749,0.00000000,0.00000000,875.000000
3.133762,0.00000000,0.00000000,875.000000
3.227580,0.00000000,0.00000000,875.000000
3.323438,0.00000000,0.00000000,875.000000
3.418479,0.00000000,0.00000000,875.000000
3.513726,0.00000000,0.00000000,875.000000
3.631723,0.00000000,0.00000000,875.000000
3.724740,0.00000000,0.00000000,875.000000
3.820038,0.00000000,0.00000000,875.000000
3.914745,0.00000000,0.00000000,875.000000
4.031753,0.00000000,0.00000000,875.000000
4.125897,0.00000000,0.00000000,875.000000
4.220554,0.00000000,0.00000000,875.000000
4.314647,0.00000000,0.00000000,875.000000
4.431920,0.00000000,0.00000000,875.000000
4.525282,0.00000000,0.00000000,875.000000
4.621152,0.00000000,0.00000000,875.000000
4.717125,0.00000000,0.00000000,875.000000
4.831651,0.00000000,0.00000000,875.000000
4.923030,0.00000000,0.00000000,875.000000
5.016341,0.00000000,0.00000000,875.000000
5.113305,0.00000000,0.00000000,875.000000
5.228044,0.00000000,0.00000000,875.000000
5.325304,0.00000000,0.00000000,875.000000
5.422938,0.00000000,0.00000000,875.000000
5.519413,0.00000000,0.00000000,875.000000
5.633508,0.00000000,0.00000000,893.000000
5.732278,0.00000000,0.00000000,873.000000
5.825460,0.00000000,0.00000000,871.000000
5.920551,0.00000000,0.00000000,872.000000
6.016496,0.00000000,0.00000000,868.000000
6.129596,0.00000000,0.00000000,868.000000
6.223997,0.00000000,0.00000000,869.000000
6.319683,0.00000000,0.00000000,868.000000
6.431773,0.00000000,0.00000000,868.000000
6.522618,0.00000000,0.00000000,871.000000
6.616557,0.00000000,0.00000000,871.000000
6.732816,0.00000000,0.00000000,871.000000
6.826764,0.00000000,0.00000000,864.000000
6.923874,0.00000000,0.00000000,813.000000
7.018742,0.00000000,0.00000000,813.000000
7.114984,0.00000000,0.00000000,821.000000
7.229050,0.00000000,0.00000000,821.000000
7.324225,0.00000000,0.00000000,809.000000
7.418414,0.00000000,0.00000000,822.000000
7.514762,0.00000000,0.00000000,841.000000
7.627270,0.00000000,0.00000000,841.000000
7.722557,0.00000000,0.00000000,841.000000
7.819479,0.00000000,0.00000000,826.000000
7.914123,0.00000000,0.00000000,826.000000
8.029231,0.00000000,0.00000000,826.000000
8.124478,0.00000000,0.00000000,826.000000
8.219176,0.00000000,0.00000000,831.000000
8.315027,0.00000000,0.00000000,840.000000
8.426165,0.00000000,0.00000000,865.000000
8.520082,0.00000000,0.00000000,917.000000
8.616821,0.00000000,0.00000000,1007.000000
8.732612,0.00000000,0.00000000,1079.000000
8.826183,0.00000000,0.00000000,1097.000000
8.921206,0.00000000,0.00000000,1137.000000
9.016251,0.00000000,0.00000000,1137.000000
9.132162,0.00000000,0.00000000,1096.000000
9.224016,0.00000000,0.00000000,1060.000000
9.320860,0.00000000,0.00000000,904.000000
