Time,Value1,Value2,Value3,Value4
2.850367e-03,0,5,2,47
1.378250e-02,0,5,2,47
1.644798e-02,0,5,2,47
1.822615e-02,0,5,2,47
2.279938e-02,0,5,2,47
2.536649e-02,0,5,2,47
2.653113e-02,0,5,2,47
3.055325e-02,0,5,2,47
3.198376e-02,0,5,2,47
3.549744e-02,0,5,2,47
4.555412e-02,0,5,2,47
1.445956e-01,0,5,2,47
2.601581e-01,0,5,2,47
3.550246e-01,0,5,2,47
4.518387e-01,0,5,2,47
5.475474e-01,0,5,2,47
6.435323e-01,0,5,2,47
7.611061e-01,0,5,2,47
8.564000e-01,0,5,2,47
9.515916e-01,0,5,2,47
1.047388e+00,0,5,2,47
1.144138e+00,0,5,2,47
1.259588e+00,0,5,2,47
1.354692e+00,0,5,2,47
1.450897e+00,0,5,2,47
1.546365e+00,0,5,2,47
1.643586e+00,0,5,2,47
1.758624e+00,0,5,2,47
1.854614e+00,0,5,2,47
1.951342e+00,0,5,2,47
2.047828e+00,0,5,2,47
2.163158e+00,0,5,2,47
2.244738e+00,0,5,2,47
2.361147e+00,0,5,2,47
2.462202e+00,0,5,2,47
2.560501e+00,0,5,2,47
2.655695e+00,0,5,2,47
2.750903e+00,0,5,2,47
2.848052e+00,0,5,2,47
2.961468e+00,0,5,2,47
3.058159e+00,0,5,2,47
3.154153e+00,0,5,2,47
3.248419e+00,0,5,2,47
3.345907e+00,0,5,2,47
3.461453e+00,0,5,2,47
3.561553e+00,0,5,2,47
3.661095e+00,0,5,2,47
3.759452e+00,0,5,2,47
3.855801e+00,0,5,2,47
3.949804e+00,0,5,2,47
4.044773e+00,0,5,2,47
4.160584e+00,0,5,2,47
4.255399e+00,0,5,2,47
4.348410e+00,0,5,2,47
4.447826e+00,0,5,2,47
4.543527e+00,0,5,2,47
4.657676e+00,0,5,2,47
4.754095e+00,0,5,2,47
4.851652e+00,0,5,2,47
4.947009e+00,0,5,2,47
5.062034e+00,0,5,2,47
5.163750e+00,0,5,2,47
5.244942e+00,0,5,2,47
5.358558e+00,0,5,2,47
5.458259e+00,0,5,2,47
5.553713e+00,0,5,2,47
5.648414e+00,0,5,2,47
5.744029e+00,0,5,2,47
5.859233e+00,0,5,2,47
5.956472e+00,0,5,2,47
6.049726e+00,0,5,2,47
6.145126e+00,0,5,2,47
6.259499e+00,0,5,2,47
6.352778e+00,0,5,2,47
6.447646e+00,0,5,2,47
6.563818e+00,0,5,2,47
6.662227e+00,0,5,2,47
6.762384e+00,0,5,2,47
6.862515e+00,0,5,2,47
6.959835e+00,0,5,2,47
7.053937e+00,0,5,2,47
7.151152e+00,0,5,2,47
7.244067e+00,0,5,2,47
7.361658e+00,0,5,2,47
7.454259e+00,0,5,2,47
7.552025e+00,0,5,2,47
7.646206e+00,0,5,2,47
7.760527e+00,0,5,2,47
7.857657e+00,0,5,2,47
7.951625e+00,0,5,2,47
8.044884e+00,0,5,2,47
8.143921e+00,0,5,2,47
