Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
0.147412,0.001000,0.001000,0.000000,0.000000,1.000000,0.000000.
0.170009,0.001000,0.001000,0.000000,0.000000,2.000000,0.000000.
0.193620,0.001000,0.001000,0.000000,0.000000,3.000000,0.000000.
0.224464,0.001000,0.001000,0.000000,0.000000,4.000000,0.000000.
0.260644,0.001000,0.001000,0.000000,0.000000,5.000000,0.000000.
0.279797,0.001000,0.001000,0.000000,0.000000,6.000000,0.000000.
0.294829,0.001000,0.001000,0.000000,0.000000,7.000000,0.000000.
0.311071,0.001000,0.001000,0.000000,0.000000,8.000000,0.000000.
0.324341,0.001000,0.001000,0.000000,0.000000,9.000000,0.000000.
0.345035,0.001000,0.001000,0.000000,0.000000,10.000000,0.000000.
0.359440,0.001000,0.001000,0.000000,0.000000,11.000000,0.000000.
0.367851,0.001000,0.001000,0.000000,0.000000,12.000000,0.000000.
0.386452,0.001000,0.001000,0.000000,0.000000,13.000000,0.000000.
0.399022,0.001000,0.001000,0.000000,0.000000,14.000000,0.000000.
0.413322,0.001000,0.001000,0.000000,0.000000,15.000000,0.000000.
0.426195,0.001000,0.001000,0.000000,0.000000,16.000000,0.000000.
0.438103,0.001000,0.001000,0.000000,0.000000,17.000000,0.000000.
0.454016,0.001000,0.001000,0.000000,0.000000,18.000000,0.000000.
0.465518,0.001000,0.001000,0.000000,0.000000,19.000000,0.000000.
0.480235,0.001000,0.001000,0.000000,0.000000,20.000000,0.000000.
0.489541,0.001000,0.001000,0.000000,0.000000,21.000000,0.000000.
0.498331,0.001000,0.001000,0.000000,0.000000,22.000000,0.000000.
0.521042,0.001000,0.001000,0.000000,0.000000,23.000000,0.000000.
0.533724,0.001000,0.001000,0.000000,0.000000,24.000000,0.000000.
0.555911,0.001000,0.001000,0.000000,0.000000,25.000000,0.000000.
0.567068,0.001000,0.001000,0.000000,0.000000,26.000000,0.000000.
0.582089,0.001000,0.001000,0.000000,0.000000,27.000000,0.000000.
