Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
0.038540,0.001000,0.001000,0.000000,0.000000,1.000000,0.000000.
0.065586,0.001000,0.001000,0.000000,0.000000,2.000000,0.000000.
0.090784,0.001000,0.001000,0.000000,0.000000,3.000000,0.000000.
0.102809,0.001000,0.001000,0.000000,0.000000,4.000000,0.000000.
0.124907,0.001000,0.001000,0.000000,0.000000,5.000000,0.000000.
0.135688,0.001000,0.001000,0.000000,0.000000,6.000000,0.000000.
0.149414,0.001000,0.001000,0.000000,0.000000,7.000000,0.000000.
0.162027,0.001000,0.001000,0.000000,0.000000,8.000000,0.000000.
0.177426,0.001000,0.001000,0.000000,0.000000,9.000000,0.000000.
0.188797,0.001000,0.001000,0.000000,0.000000,10.000000,0.000000.
0.203825,0.001000,0.001000,0.000000,0.000000,11.000000,0.000000.
0.216867,0.001000,0.001000,0.000000,0.000000,12.000000,0.000000.
0.228256,0.001000,0.001000,0.000000,0.000000,13.000000,0.000000.
0.239385,0.001000,0.001000,0.000000,0.000000,14.000000,0.000000.
0.256324,0.001000,0.001000,0.000000,0.000000,15.000000,0.000000.
0.270607,0.001000,0.001000,0.000000,0.000000,16.000000,0.000000.
0.278504,0.001000,0.001000,0.000000,0.000000,17.000000,0.000000.
0.291381,0.001000,0.001000,0.000000,0.000000,18.000000,0.000000.
0.303489,0.001000,0.001000,0.000000,0.000000,19.000000,0.000000.
0.315058,0.001000,0.001000,0.000000,0.000000,20.000000,0.000000.
0.326872,0.001000,0.001000,0.000000,0.000000,21.000000,0.000000.
0.337353,0.001000,0.001000,0.000000,0.000000,22.000000,0.000000.
0.350250,0.001000,0.001000,0.000000,0.000000,23.000000,0.000000.
0.360361,0.001000,0.001000,0.000000,0.000000,24.000000,0.000000.
0.370959,0.001000,0.001000,0.000000,0.000000,25.000000,0.000000.
0.380399,0.001000,0.001000,0.000000,0.000000,26.000000,0.000000.
0.396678,0.001000,0.001000,0.000000,0.000000,27.000000,0.000000.
0.407999,0.001000,0.001000,0.000000,0.000000,28.000000,0.000000.
0.422001,0.001000,0.001000,0.000000,0.000000,29.000000,0.000000.
0.438301,0.001000,0.001000,0.000000,0.000000,30.000000,0.000000.
0.447928,0.001000,0.001000,0.000000,0.000000,31.000000,0.000000.
0.456430,0.001000,0.001000,0.000000,0.000000,32.000000,0.000000.
0.473302,0.001000,0.001000,0.000000,0.000000,33.000000,0.000000.
0.492904,0.001000,0.001000,0.000000,0.000000,34.000000,0.000000.
0.503663,0.001000,0.001000,0.000000,0.000000,35.000000,0.000000.
0.513120,0.001000,0.001000,0.000000,0.000000,36.000000,0.000000.
0.524471,0.001000,0.001000,0.000000,0.000000,37.000000,0.000000.
0.537298,0.001000,0.001000,0.000000,0.000000,38.000000,0.000000.
0.545375,0.001000,0.001000,0.000000,0.000000,39.000000,0.000000.
0.561215,0.001000,0.001000,0.000000,0.000000,40.000000,0.000000.
0.572888,0.001000,0.001000,0.000000,0.000000,41.000000,0.000000.
0.585287,0.001000,0.001000,0.000000,0.000000,42.000000,0.000000.
0.596002,0.001000,0.001000,0.000000,0.000000,43.000000,0.000000.
0.609498,0.001000,0.001000,0.000000,0.000000,44.000000,0.000000.
0.618466,0.001000,0.001000,0.000000,0.000000,45.000000,0.000000.
0.626747,0.001000,0.001000,0.000000,0.000000,46.000000,0.000000.
0.642441,0.001000,0.001000,0.000000,0.000000,47.000000,0.000000.
0.655388,0.001000,0.001000,0.000000,0.000000,48.000000,0.000000.
0.668075,0.001000,0.001000,0.000000,0.000000,49.000000,0.000000.
0.679675,0.001000,0.001000,0.000000,0.000000,50.000000,0.000000.
0.690225,0.001000,0.001000,0.000000,0.000000,51.000000,0.000000.
0.702876,0.001000,0.001000,0.000000,0.000000,52.000000,0.000000.
0.711306,0.001000,0.001000,0.000000,0.000000,53.000000,0.000000.
0.726377,0.001000,0.001000,0.000000,0.000000,54.000000,0.000000.
0.737459,0.001000,0.001000,0.000000,0.000000,55.000000,0.000000.
0.752864,0.001000,0.001000,0.000000,0.000000,56.000000,0.000000.
0.765087,0.001000,0.001000,0.000000,0.000000,57.000000,0.000000.
0.778599,0.001000,0.001000,0.000000,0.000000,58.000000,0.000000.
0.785914,0.001000,0.001000,0.000000,0.000000,59.000000,0.000000.
0.803929,0.001000,0.001000,0.000000,0.000000,60.000000,0.000000.
0.815523,0.001000,0.001000,0.000000,0.000000,61.000000,0.000000.
0.827238,0.001000,0.001000,0.000000,0.000000,62.000000,0.000000.
0.840753,0.001000,0.001000,0.000000,0.000000,63.000000,0.000000.
0.847871,0.001000,0.001000,0.000000,0.000000,64.000000,0.000000.
0.862601,0.001000,0.001000,0.000000,0.000000,65.000000,0.000000.
0.874098,0.001000,0.001000,0.000000,0.000000,66.000000,0.000000.
0.887238,0.001000,0.001000,0.000000,0.000000,67.000000,0.000000.
0.898070,0.001000,0.001000,0.000000,0.000000,68.000000,0.000000.
0.916520,0.001000,0.001000,0.000000,0.000000,69.000000,0.000000.
0.935818,0.001000,0.001000,0.000000,0.000000,70.000000,0.000000.
0.945689,0.001000,0.001000,0.000000,0.000000,71.000000,0.000000.
0.958889,0.001000,0.001000,0.000000,0.000000,72.000000,0.000000.
0.966021,0.001000,0.001000,0.000000,0.000000,73.000000,0.000000.
0.981338,0.001000,0.001000,0.000000,0.000000,74.000000,0.000000.
0.992667,0.001000,0.001000,0.000000,0.000000,75.000000,0.000000.
1.005394,0.001000,0.001000,0.000000,0.000000,76.000000,0.000000.
1.017139,0.001000,0.001000,0.000000,0.000000,77.000000,0.000000.
1.024659,0.001000,0.001000,0.000000,0.000000,78.000000,0.000000.
1.039027,0.001000,0.001000,0.000000,0.000000,79.000000,0.000000.
1.050429,0.001000,0.001000,0.000000,0.000000,80.000000,0.000000.
1.062155,0.001000,0.001000,0.000000,0.000000,81.000000,0.000000.
1.073216,0.001000,0.001000,0.000000,0.000000,82.000000,0.000000.
1.090767,0.001000,0.001000,0.000000,0.000000,83.000000,0.000000.
1.103768,0.001000,0.001000,0.000000,0.000000,84.000000,0.000000.
1.112243,0.001000,0.001000,0.000000,0.000000,85.000000,0.000000.
1.133125,0.001000,0.001000,0.000000,0.000000,86.000000,0.000000.
1.144919,0.001000,0.001000,0.000000,0.000000,87.000000,0.000000.
1.162394,0.001000,0.001000,0.000000,0.000000,88.000000,0.000000.
1.172827,0.001000,0.001000,0.000000,0.000000,89.000000,0.000000.
1.185752,0.001000,0.001000,0.000000,0.000000,90.000000,0.000000.
1.192675,0.001000,0.001000,0.000000,0.000000,91.000000,0.000000.
1.211085,0.001000,0.001000,0.000000,0.000000,92.000000,0.000000.
1.238992,0.001000,0.001000,0.000000,0.000000,93.000000,0.000000.
1.266070,0.001000,0.001000,0.000000,0.000000,94.000000,0.000000.
