t,Torque1(t),Torque2(t),Steering_Angle(t)
0.018582,0.00000000,0.00000000,1166.000000
0.034816,0.00000000,0.00000000,1166.000000
0.049404,0.00000000,0.00000000,1166.000000
0.063471,0.00000000,0.00000000,1166.000000
0.079447,0.00000000,0.00000000,1166.000000
0.092830,0.00000000,0.00000000,1166.000000
0.109526,0.00000000,0.00000000,1166.000000
0.126040,0.00000000,0.00000000,1166.000000
0.143769,0.00000000,0.00000000,1166.000000
0.157827,0.00000000,0.00000000,1166.000000
0.171182,0.00000000,0.00000000,1166.000000
0.183792,0.00000000,0.00000000,1166.000000
0.280494,0.00000000,0.00000000,1166.000000
0.384316,0.00000000,0.00000000,1166.000000
0.469265,0.00000000,0.00000000,1166.000000
0.577243,0.00000000,0.00000000,1166.000000
0.679348,0.00000000,0.00000000,1166.000000
0.767866,0.00000000,0.00000000,1166.000000
0.884032,0.00000000,0.00000000,1166.000000
0.969365,0.00000000,0.00000000,1166.000000
1.072317,0.00000000,0.00000000,1166.000000
1.179125,0.00000000,0.00000000,1166.000000
1.286720,0.00000000,0.00000000,1166.000000
1.387799,0.00000000,0.00000000,1166.000000
1.474522,0.00000000,0.00000000,1166.000000
1.578211,0.00000000,0.00000000,1166.000000
1.686697,0.00000000,0.00000000,1166.000000
1.770420,0.00000000,0.00000000,1166.000000
1.875034,0.00000000,0.00000000,1166.000000
1.981581,0.00000000,0.00000000,1166.000000
2.087599,0.00000000,0.00000000,1166.000000
2.175856,0.00000000,0.00000000,1166.000000
2.281011,0.00000000,0.00000000,1166.000000
2.386876,0.00000000,0.00000000,1166.000000
2.470628,0.00000000,0.00000000,1166.000000
2.576728,0.00000000,0.00000000,1166.000000
2.682712,0.00000000,0.00000000,1166.000000
2.785823,0.00000000,0.00000000,1166.000000
2.869454,0.00000000,0.00000000,1166.000000
2.977350,0.00000000,0.00000000,1166.000000
3.083159,0.00000000,0.00000000,1166.000000
3.188054,0.00000000,0.00000000,1166.000000
3.270915,0.00000000,0.00000000,1166.000000
3.376050,0.00000000,0.00000000,1166.000000
3.483657,0.00000000,0.00000000,1166.000000
3.569162,0.00000000,0.00000000,1166.000000
3.671611,0.00000000,0.00000000,1166.000000
3.775400,0.00000000,0.00000000,1166.000000
3.883097,0.00000000,0.00000000,1166.000000
3.988519,0.31913000,0.50000000,1166.000000
4.075644,0.63826001,1.00000000,1166.000000
4.182589,0.95739001,1.50000000,1166.000000
4.268347,1.27652001,2.00000000,1166.000000
4.371884,1.59564996,2.50000000,1166.000000
4.477068,1.91478002,3.00000000,1166.000000
4.583407,2.23391008,3.50000000,1166.000000
4.688534,2.55304003,4.00000000,1166.000000
4.771019,2.87216997,4.50000000,1166.000000
4.876728,3.19129992,5.00000000,1166.000000
4.983262,3.51043010,5.50000000,1166.000000
5.087253,3.82956004,6.00000000,1166.000000
5.169401,4.14869022,6.50000000,1166.000000
5.276258,4.46782017,7.00000000,1166.000000
5.382507,4.78695011,7.50000000,1166.000000
5.487581,5.10608006,8.00000000,1166.000000
5.569899,5.42521000,8.50000000,1166.000000
5.676081,5.74433994,9.00000000,1166.000000
5.781196,6.06346989,9.50000000,1166.000000
5.887299,6.38259983,10.00000000,1166.000000
5.989070,6.70173025,10.50000000,1166.000000
6.075232,7.02086020,11.00000000,1166.000000
6.179510,7.33999014,11.50000000,1166.000000
6.284225,7.65912008,12.00000000,1166.000000
6.370084,7.97825003,12.50000000,1166.000000
6.475291,8.29738045,13.00000000,1166.000000
6.581422,8.61651039,13.50000000,1166.000000
6.687402,8.93564034,14.00000000,1166.000000
6.780069,9.25477028,14.50000000,1166.000000
6.886141,9.57390022,15.00000000,1166.000000
6.968863,9.89303017,15.50000000,1166.000000
7.075219,10.21216011,16.00000000,1166.000000
7.182138,10.53129005,16.50000000,1166.000000
7.288116,10.85042000,17.00000000,1166.000000
7.371517,11.16954994,17.50000000,1166.000000
7.476297,11.48867989,18.00000000,1166.000000
7.581727,11.80780983,18.50000000,1166.000000
7.687241,12.12693977,19.00000000,1166.000000
7.768506,12.44606972,19.50000000,1166.000000
7.876003,12.76519966,20.00000000,1166.000000
7.982206,13.08433056,20.50000000,1166.000000
8.087624,13.40346050,21.00000000,1166.000000
8.177120,13.72259045,21.50000000,1166.000000
8.282442,14.04172039,22.00000000,1166.000000
8.368044,14.34689999,22.50000000,1168.000000
8.474601,14.68710899,23.00000000,1165.000000
8.579027,15.02824879,23.50000000,1162.000000
8.686465,15.24383926,24.00000000,1176.000000
8.786404,15.56141949,24.50000000,1176.000000
8.869376,15.87899971,25.00000000,1176.000000
8.974874,15.87899971,25.00000000,1176.000000
9.083335,15.87899971,25.00000000,1176.000000
9.189598,15.87899971,25.00000000,1176.000000
9.270238,15.99524879,25.00000000,1161.000000
9.375571,0.00000000,0.00000000,1161.000000
9.481345,0.00000000,0.00000000,1161.000000
9.587162,0.00000000,0.00000000,1135.000000
9.670101,0.00000000,0.00000000,1130.000000
9.774708,0.00000000,0.00000000,1130.000000
9.878811,0.00000000,0.00000000,1133.000000
9.985651,0.00000000,0.00000000,1168.000000
10.072722,0.00000000,0.00000000,1169.000000
10.179092,0.00000000,0.00000000,1170.000000
10.284301,0.00000000,0.00000000,1135.000000
10.368817,0.00000000,0.00000000,1135.000000
10.477017,0.00000000,0.00000000,1133.000000
10.585510,0.00000000,0.00000000,1133.000000
10.671257,0.00000000,0.00000000,1133.000000
10.777102,0.00000000,0.00000000,1136.000000
10.882282,0.00000000,0.00000000,1137.000000
10.988431,0.00000000,0.00000000,1138.000000
11.073773,0.00000000,0.00000000,1138.000000
11.179805,0.00000000,0.00000000,1138.000000
11.285199,0.32284999,0.50000000,1142.000000
11.369076,0.64569998,1.00000000,1142.000000
11.476532,0.96854997,1.50000000,1142.000000
11.582954,1.28582001,2.00000000,1151.000000
11.668983,1.60262489,2.50000000,1157.000000
11.775277,1.91570985,3.00000000,1165.000000
11.881760,2.23499489,3.50000000,1165.000000
11.988325,2.37323999,4.00000000,1311.000000
12.070812,2.67547512,4.50000000,1307.000000
12.177362,2.98979998,5.00000000,1296.000000
12.287142,3.25297499,5.50000000,1317.000000
12.372497,3.55427980,6.00000000,1314.000000
12.477361,3.85248494,6.50000000,1313.000000
12.582590,4.13363981,7.00000000,1320.000000
12.670639,4.34752464,7.50000000,1355.000000
12.775798,4.63488007,8.00000000,1356.000000
12.882712,4.92456007,8.50000000,1356.000000
12.989146,5.17238998,9.00000000,1371.000000
13.083956,5.42734957,9.50000000,1382.000000
13.186596,5.31309986,10.00000000,1511.000000
13.273904,5.33788490,10.50000000,1585.000000
13.379469,5.32608986,11.00000000,1663.000000
13.484670,5.41132498,11.50000000,1707.000000
13.586918,5.53127956,12.00000000,1738.000000
13.675076,5.70749950,12.50000000,1752.000000
13.779346,5.92773914,13.00000000,1754.000000
13.882766,6.55330420,13.50000000,1659.000000
13.969353,8.09367943,14.00000000,1360.000000
14.073446,9.22779942,14.50000000,1172.000000
14.179136,9.64829922,15.00000000,1150.000000
14.285863,10.28703976,15.50000000,1084.000000
14.369599,10.71807957,16.00000000,1064.000000
14.475367,11.05301952,16.50000000,1064.000000
14.579441,11.35106945,17.00000000,1071.000000
14.685921,11.68492413,17.50000000,1071.000000
14.768377,11.19851875,18.00000000,1218.000000
14.873772,10.21348000,18.50000000,1444.000000
14.978633,9.74737930,19.00000000,1570.000000
15.085948,9.13945484,19.50000000,1713.000000
15.173273,8.82200050,20.00000000,1802.000000
15.279573,8.55321407,20.50000000,1879.000000
15.383015,7.94156885,21.00000000,2005.000000
15.489173,7.98402500,21.50000000,2027.000000
15.578299,22.00000000,7.81021023,2189.000000
15.686469,22.50000000,8.57482910,2245.000000
15.772694,23.00000000,10.37140369,2402.000000
15.882698,23.50000000,12.33226967,2580.000000
15.988170,24.00000000,12.95713806,2618.000000
16.076796,24.50000000,13.43888283,2640.000000
16.186346,25.00000000,13.76199722,2645.000000
16.268448,25.00000000,13.78152370,2647.000000
16.374301,25.00000000,14.56940174,2729.000000
16.480710,25.00000000,15.35232067,2813.000000
16.584113,25.00000000,16.73748398,2968.000000
16.668095,25.00000000,17.44978333,3051.000000
16.774314,25.00000000,18.19233894,3140.000000
16.879505,25.00000000,19.25578117,3272.000000
16.986596,25.00000000,19.45233345,3297.000000
17.069340,25.00000000,18.64075661,3195.000000
17.175787,25.00000000,18.60029602,3190.000000
17.280322,0.00000000,0.00000000,3190.000000
17.384819,0.00000000,0.00000000,3190.000000
17.487078,0.00000000,0.00000000,3190.000000
17.571632,0.00000000,0.00000000,3189.000000
17.680070,0.00000000,0.00000000,3189.000000
17.787593,0.00000000,0.00000000,3200.000000
17.871236,0.00000000,0.00000000,3199.000000
17.975622,0.00000000,0.00000000,3183.000000
18.081451,0.00000000,0.00000000,3183.000000
18.188690,0.00000000,0.00000000,3210.000000
18.271366,0.00000000,0.00000000,3252.000000
18.375942,0.00000000,0.00000000,3252.000000
18.482800,0.00000000,0.00000000,3251.000000
18.587854,0.00000000,0.00000000,3251.000000
18.668825,0.00000000,0.00000000,3250.000000
18.771300,0.00000000,0.00000000,3250.000000
18.877280,0.00000000,0.00000000,3251.000000
18.982993,0.00000000,0.00000000,3224.000000
19.089442,0.00000000,0.00000000,3063.000000
19.172453,0.00000000,0.00000000,3003.000000
19.279756,0.00000000,0.00000000,2989.000000
19.385417,0.00000000,0.00000000,2930.000000
19.487495,0.00000000,0.00000000,2897.000000
19.585538,0.00000000,0.00000000,2927.000000
19.669243,0.00000000,0.00000000,2926.000000
19.777123,0.00000000,0.00000000,2921.000000
19.882240,0.00000000,0.00000000,2931.000000
19.971118,0.00000000,0.00000000,2932.000000
20.075045,0.00000000,0.00000000,2914.000000
20.179223,0.00000000,0.00000000,2845.000000
20.286850,0.00000000,0.00000000,2730.000000
20.370012,0.00000000,0.00000000,2663.000000
20.475410,0.00000000,0.00000000,2626.000000
20.582995,0.00000000,0.00000000,2545.000000
20.668142,0.50000000,0.25187206,2528.000000
20.775677,1.00000000,0.50374413,2528.000000
20.881529,1.50000000,0.75561619,2528.000000
20.989393,2.00000000,1.06232834,2596.000000
21.077686,2.50000000,1.50939703,2785.000000
21.181992,3.00000000,1.90012550,2866.000000
21.269351,3.50000000,2.28058290,2917.000000
21.374901,4.00000000,2.72781372,3004.000000
21.477568,4.50000000,3.15617037,3061.000000
21.582858,5.00000000,3.61207962,3124.000000
21.687066,5.50000000,4.17341328,3236.000000
21.771145,6.00000000,4.67607880,3301.000000
21.877193,6.50000000,5.13857651,3337.000000
21.981101,7.00000000,5.59212399,3364.000000
22.087676,7.50000000,6.04892492,3389.000000
22.175572,8.00000000,6.35653687,3350.000000
22.280252,8.50000000,6.59779978,3291.000000
22.385759,9.00000000,6.40301228,3091.000000
22.470738,9.50000000,5.96900129,2852.000000
22.575105,10.00000000,5.12290001,2549.000000
22.678719,10.50000000,4.64863443,2383.000000
22.785379,11.00000000,4.02901268,2213.000000
22.868720,4.36321449,11.50000000,2001.000000
22.970560,5.10719967,12.00000000,1852.000000
23.076364,5.65324926,12.50000000,1766.000000
23.184774,6.16953993,13.00000000,1694.000000
23.274930,6.54911995,13.50000000,1660.000000
23.380826,6.81337929,14.00000000,1655.000000
23.488902,6.17119980,14.50000000,1852.000000
23.569461,5.55629969,15.00000000,2030.000000
23.676592,15.50000000,6.10556698,2273.000000
23.778269,16.00000000,8.33226013,2570.000000
23.884070,16.50000000,9.61580467,2729.000000
23.968891,17.00000000,9.94576263,2735.000000
24.072733,17.50000000,8.43250275,2475.000000
24.176756,18.00000000,7.04118919,2267.000000
24.282290,6.75527477,18.50000000,2047.000000
24.385779,7.76244926,19.00000000,1907.000000
24.487824,8.40801048,19.50000000,1834.000000
24.575969,8.94599915,20.00000000,1782.000000
24.680381,9.29674911,20.50000000,1762.000000
24.788005,9.36725903,21.00000000,1786.000000
24.868316,7.94403410,21.50000000,2033.000000
24.969690,22.00000000,7.29570770,2140.000000
25.074088,22.50000000,8.27265167,2216.000000
25.180455,23.00000000,9.57684803,2323.000000
25.294879,23.50000000,9.64880180,2310.000000
25.382370,24.00000000,9.54089355,2281.000000
25.485277,24.50000000,9.11057091,2225.000000
25.588749,25.00000000,7.60579109,2084.000000
25.673047,10.15950012,25.00000000,1914.000000
25.778987,11.20574951,25.00000000,1779.000000
25.882851,11.91099930,25.00000000,1688.000000
25.989071,12.05049896,25.00000000,1670.000000
26.071042,11.96524906,25.00000000,1681.000000
26.176366,11.71724987,25.00000000,1713.000000
26.279797,11.71724987,25.00000000,1713.000000
26.385109,11.72499943,25.00000000,1712.000000
26.470955,11.60874939,25.00000000,1727.000000
26.576889,11.50024986,25.00000000,1741.000000
26.683715,11.51574993,25.00000000,1739.000000
26.788237,11.67849922,25.00000000,1718.000000
26.872506,12.29074860,25.00000000,1639.000000
