Time(s),Torque1(A),Torque2(A),Steering_Angle(Degrees)
0.005917,0.00000000,0.00000000,3587.000000
0.022921,0.00000000,0.00000000,259.000000
0.037429,0.00000000,0.00000000,3587.000000
0.054385,0.00000000,0.00000000,3587.000000
0.071642,0.00000000,0.00000000,3587.000000
0.087571,0.00000000,0.00000000,3587.000000
0.105242,0.00000000,0.00000000,3587.000000
0.124294,0.00000000,0.00000000,3587.000000
0.138239,0.00000000,0.00000000,3587.000000
0.151997,0.00000000,0.00000000,3587.000000
0.164869,0.00000000,0.00000000,3587.000000
0.178476,0.00000000,0.00000000,3587.000000
0.246051,0.00000000,0.00000000,3587.000000
0.340536,0.00000000,0.00000000,3587.000000
0.444809,0.00000000,0.00000000,259.000000
0.548494,0.00000000,0.00000000,3587.000000
0.649008,0.00000000,0.00000000,259.000000
0.731109,0.00000000,0.00000000,3587.000000
0.834916,0.00000000,0.00000000,3587.000000
0.938610,0.00000000,0.00000000,3587.000000
1.042417,0.00000000,0.00000000,259.000000
1.148206,0.00000000,0.00000000,3587.000000
1.230984,0.00000000,0.00000000,3587.000000
1.335044,0.00000000,0.00000000,3587.000000
1.441146,0.00000000,0.00000000,259.000000
1.542859,0.00000000,0.00000000,3587.000000
1.647337,0.00000000,0.00000000,3587.000000
1.731646,0.00000000,0.00000000,3587.000000
1.834445,0.00000000,0.00000000,3587.000000
1.936532,0.00000000,0.00000000,3587.000000
2.040389,0.00000000,0.00000000,3587.000000
2.144956,0.00000000,0.00000000,259.000000
2.247516,0.00000000,0.00000000,259.000000
2.347826,0.00000000,0.00000000,259.000000
2.445872,0.00000000,0.00000000,259.000000
2.547528,0.00000000,0.00000000,3587.000000
2.650773,0.00000000,0.00000000,3587.000000
2.730412,0.00000000,0.00000000,3587.000000
2.832678,0.00000000,0.00000000,3587.000000
2.935682,0.00000000,0.00000000,3587.000000
3.038751,0.50000000,0.43258953,3587.000000
3.144097,1.00000000,0.86517906,3587.000000
3.246535,1.50000000,1.29776859,3587.000000
3.348091,1.83885992,2.00000000,259.000000
3.450114,2.29857492,2.50000000,259.000000
3.530762,2.76200986,3.00000000,255.000000
3.632673,3.21691990,3.50000000,260.000000
3.735506,3.67647982,4.00000000,260.000000
3.839109,1.81615484,4.50000000,1923.000000
3.942897,2.01794982,5.00000000,1923.000000
4.047033,2.21974468,5.50000000,1923.000000
4.151450,2.41595984,6.00000000,1926.000000
4.237382,2.61728978,6.50000000,1926.000000
4.341204,2.85550976,7.00000000,1909.000000
4.443561,3.08272505,7.50000000,1899.000000
4.546627,3.28823996,8.00000000,1899.000000
4.644840,3.52273989,8.50000000,1888.000000
4.731589,3.72995973,9.00000000,1888.000000
4.833599,3.93717980,9.50000000,1888.000000
4.934755,4.14439964,10.00000000,1888.000000
5.038213,4.35161972,10.50000000,1888.000000
5.144688,4.55883980,11.00000000,1888.000000
5.248846,4.76605988,11.50000000,1888.000000
5.350952,4.97327995,12.00000000,1888.000000
5.435720,5.18049955,12.50000000,1888.000000
5.538536,5.38771963,13.00000000,1888.000000
5.644176,0.00000000,0.00000000,1884.000000
