t,readvalue(t)
0.029342,0.00000000
0.133953,0.00000000
1.149426,0.00000000
2.138960,0.00000000
3.157874,0.00000000
4.143536,0.00000000
5.130276,0.00000000
6.142432,0.00000000
7.150415,0.50000000
8.137354,1.00000000
9.144414,1.50000000
10.141028,2.00000000
11.132790,2.50000000
12.142832,3.00000000
13.136564,3.50000000
14.145474,4.00000000
15.138822,4.50000000
16.147256,5.00000000
17.134479,5.50000000
18.143698,6.00000000
19.133030,6.50000000
20.142695,7.00000000
21.133979,7.50000000
22.141196,8.00000000
23.150282,0.00000000
24.137902,0.00000000
25.144950,0.00000000
26.136229,0.00000000
27.142638,0.00000000
28.132972,0.00000000
29.141284,0.50000000
30.132419,1.00000000
31.144817,1.50000000
32.149693,0.00000000
33.139832,0.50000000
34.146631,1.00000000
35.137851,1.50000000
36.143106,2.00000000
37.133454,2.50000000
38.140876,3.00000000
39.132568,3.50000000
40.139806,4.00000000
41.150110,4.50000000
42.137456,5.00000000
43.143466,5.50000000
44.149639,0.00000000
45.134725,0.00000000
46.141783,0.50000000
47.146694,1.00000000
48.139436,1.50000000
49.147611,2.00000000
50.134322,2.50000000
51.144118,3.00000000
52.132273,3.50000000
53.142202,4.00000000
54.148568,4.50000000
55.137467,5.00000000
56.143818,5.50000000
57.131615,6.00000000
58.140307,6.50000000
59.148206,7.00000000
60.139766,7.50000000
61.144733,8.00000000
62.133938,8.50000000
63.146126,9.00000000
64.132425,9.50000000
65.139914,4.04829979
66.145445,5.28580475
67.133024,5.50682020
68.138064,5.75713015
69.149404,6.00744009
70.135635,6.25775003
71.142349,6.50805998
72.131120,6.75836992
73.133448,7.00868034
74.137977,7.25899029
75.145740,7.50930023
76.132570,7.75961018
77.142031,8.00992012
78.147255,8.26023006
79.132825,8.51054001
80.139220,8.76084995
81.148550,9.01115990
82.134382,9.26146984
83.140830,9.51177979
84.145250,9.76208973
85.133129,10.01239967
86.142074,10.26271057
87.149523,10.51302052
88.131872,0.00000000
89.137109,0.00000000
90.138974,0.25031000
91.148128,0.50062001
92.150109,0.75093001
93.134573,1.00124002
94.138061,1.25154996
95.142200,1.50186002
96.145158,1.75217009
97.149040,2.00248003
98.131385,2.25278997
99.147577,2.50309992
100.137333,2.75341010
101.147236,3.00372005
102.135046,3.25402999
103.134586,3.50434017
104.139677,3.75465012
105.138363,4.00496006
106.139855,4.25527000
107.141967,4.50557995
108.147637,4.75588989
109.149205,5.00619984
110.134569,5.25651026
111.141904,5.50682020
112.144305,0.00000000
113.130129,0.25031000
114.134340,0.50062001
115.138734,0.75093001
116.142345,1.00124002
117.144895,1.25154996
118.131200,1.50186002
119.135692,0.00000000
120.135020,0.00000000
121.144163,0.00000000
122.130827,0.00000000
123.134124,0.00000000
124.138521,0.00000000
125.142455,0.00000000
126.147407,0.00000000
127.130783,0.00000000
128.135470,0.00000000
129.140415,0.00000000
130.147133,0.00000000
131.129526,0.00000000
132.147389,0.00000000
133.130987,0.00000000
134.135134,0.00000000
135.139886,0.00000000
136.142454,0.00000000
137.148181,0.00000000
138.137179,0.00000000
139.139952,0.00000000
140.145533,0.00000000
141.139828,0.00000000
142.140964,0.00000000
143.144409,0.00000000
144.147697,0.00000000
145.133941,0.00000000
146.148745,0.00000000
147.147834,0.00000000
148.149025,0.00000000
149.146054,0.00000000
150.131208,0.00000000
151.134846,0.00000000
152.138685,0.00000000
153.137176,0.00000000
154.135126,0.00000000
155.139616,0.00000000
156.137423,0.00000000
157.142514,0.00000000
158.143275,0.00000000
159.143310,0.00000000
160.137227,0.00000000
161.139209,0.00000000
162.140501,0.00000000
163.141780,0.00000000
164.142092,0.00000000
165.143574,0.00000000
166.143210,0.00000000
167.143803,0.00000000
168.143001,0.00000000
169.147146,0.00000000
170.148411,0.00000000
171.129737,0.00000000
172.129682,0.00000000
173.135029,0.00000000
174.133458,0.00000000
175.133236,0.00000000
176.141180,0.00000000
177.144416,0.00000000
