t,Torque1(t),Torque2(t)
0.020764,0.00000000,0.00000000
0.042167,0.00000000,0.00000000
0.060677,0.00000000,0.00000000
0.076848,0.00000000,0.00000000
0.095731,0.00000000,0.00000000
0.113442,0.00000000,0.00000000
0.126724,0.00000000,0.00000000
0.139660,0.00000000,0.00000000
0.152415,0.00000000,0.00000000
0.165319,0.00000000,0.00000000
0.178371,0.00000000,0.00000000
0.270264,0.00000000,0.00000000
0.382080,0.00000000,0.00000000
0.474578,0.00000000,0.00000000
0.568378,0.00000000,0.00000000
0.679377,0.00000000,0.00000000
0.771166,0.00000000,0.00000000
0.866667,0.00000000,0.00000000
0.979925,0.00000000,0.00000000
1.072199,0.00000000,0.00000000
1.163070,0.00000000,0.00000000
1.276879,0.00000000,0.00000000
1.368986,0.00000000,0.00000000
1.461762,0.00000000,0.00000000
1.573814,0.00000000,0.00000000
1.667194,0.00000000,0.00000000
1.780517,0.00000000,0.00000000
1.873604,0.00000000,0.00000000
1.964327,0.00000000,0.00000000
2.080407,0.00000000,0.00000000
2.172177,0.00000000,0.00000000
2.262878,0.00000000,0.00000000
2.376071,0.00000000,0.00000000
2.472249,0.00000000,0.00000000
2.563688,0.00000000,0.00000000
2.679293,0.00000000,0.00000000
2.770513,0.00000000,0.00000000
2.881550,0.36144498,0.50000000
2.973041,0.72288996,1.00000000
3.064493,1.08433497,1.50000000
3.176300,1.44577992,2.00000000
3.270293,1.80722487,2.50000000
3.364021,2.16866994,3.00000000
3.476903,2.53011489,3.50000000
3.569881,2.89155984,4.00000000
3.682278,3.25300479,4.50000000
3.773058,3.61444974,5.00000000
3.863275,3.97589469,5.50000000
3.981164,4.33733988,6.00000000
4.073529,4.69878483,6.50000000
4.179377,5.06022978,7.00000000
4.271818,5.42167473,7.50000000
4.363797,5.78311968,8.00000000
4.476559,6.14456463,8.50000000
4.569502,6.50600958,9.00000000
4.679910,6.86745453,9.50000000
4.772391,7.22889948,10.00000000
4.864781,7.59034443,10.50000000
4.979161,7.95178938,11.00000000
5.069154,8.31323433,11.50000000
5.179510,8.67467976,12.00000000
5.271566,9.03612423,12.50000000
5.362134,9.39756966,13.00000000
5.475064,9.75901413,13.50000000
5.567587,10.12045956,14.00000000
5.680375,10.48190403,14.50000000
5.772286,10.84799957,15.00000000
5.862734,11.20959949,15.50000000
5.975553,11.57119942,16.00000000
6.069581,11.44687462,16.50000000
6.166339,11.12445927,17.00000000
6.276075,10.76809978,17.50000000
6.367711,10.71863937,18.00000000
6.480821,10.56904984,18.50000000
6.571679,10.77812958,19.00000000
6.667137,11.06176472,19.50000000
6.779301,11.79800034,20.00000000
6.874180,0.00000000,0.00000000
6.965525,0.00000000,0.00000000
7.078484,0.00000000,0.00000000
7.170977,0.00000000,0.00000000
7.263550,0.00000000,0.00000000
7.376347,0.31261998,0.50000000
7.468385,0.65345001,1.00000000
7.582163,0.98156995,1.50000000
7.675652,1.26411986,2.00000000
7.767636,1.53752494,2.50000000
7.881758,1.73157001,3.00000000
7.973205,2.00063491,3.50000000
8.069369,2.25171995,4.00000000
8.180912,2.52063012,4.50000000
8.272833,2.78054976,5.00000000
8.364903,3.05860472,5.50000000
8.477947,3.33479977,6.00000000
8.569486,3.61269975,6.50000000
8.682899,3.89059973,7.00000000
8.774878,4.16849995,7.50000000
8.866424,4.62992001,8.00000000
8.979410,5.29345942,8.50000000
9.071512,6.03728962,9.00000000
9.163553,6.76732492,9.50000000
9.274251,7.34359980,10.00000000
9.364965,7.72705460,10.50000000
9.478151,8.09842014,11.00000000
9.570228,8.11715984,11.50000000
9.662466,8.00507927,12.00000000
9.774442,7.92012501,12.50000000
9.871709,7.93064976,13.00000000
9.963723,8.18545437,13.50000000
10.073989,8.48861980,14.00000000
10.167050,8.84572411,14.50000000
10.277248,9.89939976,15.00000000
10.370763,11.38257980,15.50000000
10.463218,12.00767994,16.00000000
10.577491,12.77677441,16.50000000
10.670312,13.17975998,17.00000000
10.762222,11.90192413,17.50000000
10.874000,11.53889942,18.00000000
10.966583,11.59561443,18.50000000
11.079739,11.64984989,19.00000000
11.172041,11.95642471,19.50000000
11.264151,12.26300049,20.00000000
11.374853,13.36394882,20.50000000
11.466708,14.71847820,21.00000000
11.579196,15.45548916,21.50000000
11.673157,15.71943951,22.00000000
11.762647,14.75144958,22.50000000
11.869328,14.68710899,23.00000000
11.981505,14.54015350,23.50000000
12.075458,14.75279903,24.00000000
12.168531,15.06014919,24.50000000
12.283698,15.37524891,25.00000000
12.375731,15.74724960,25.00000000
12.467717,15.78599930,25.00000000
12.580300,15.35199928,25.00000000
12.674175,15.10399914,25.00000000
12.767094,15.01874924,25.00000000
12.876799,15.01099873,25.00000000
12.969304,14.90249920,25.00000000
13.079788,14.58475018,25.00000000
13.171393,14.25924873,25.00000000
13.263277,14.63124943,25.00000000
13.372721,14.87924862,25.00000000
13.465309,15.46049976,25.00000000
13.578477,15.44499969,25.00000000
13.667076,15.43724823,25.00000000
13.780029,15.51474953,25.00000000
13.871228,15.62324905,25.00000000
13.965091,15.67749977,25.00000000
14.077925,15.47599983,25.00000000
14.171851,15.04974937,25.00000000
14.264689,14.26699924,25.00000000
14.377952,14.11975002,25.00000000
14.469867,14.11975002,25.00000000
14.581452,14.11975002,25.00000000
14.673994,14.11199856,25.00000000
14.766254,14.20499992,25.00000000
14.877800,14.08874989,25.00000000
14.971645,13.87174988,25.00000000
15.064027,14.08099842,25.00000000
15.173868,15.12724876,25.00000000
15.265587,15.63099957,25.00000000
15.379772,16.03400040,25.00000000
15.470690,16.70824814,25.00000000
15.563316,16.70824814,25.00000000
15.678009,15.20474815,25.00000000
15.770897,14.35999870,25.00000000
15.863493,13.68574905,25.00000000
15.980712,13.16649914,25.00000000
16.072386,12.98824883,25.00000000
16.168034,12.98824883,25.00000000
16.280381,12.88749886,25.00000000
16.372349,12.85649872,25.00000000
16.463258,12.92624950,25.00000000
16.577286,14.16624928,25.00000000
16.668906,14.78624916,25.00000000
16.780211,15.48374939,25.00000000
16.872189,15.69299984,25.00000000
16.964817,15.55349827,25.00000000
17.078370,14.35999870,25.00000000
17.169675,13.82524967,25.00000000
17.267385,12.32174969,25.00000000
17.377274,11.25224972,25.00000000
17.469229,10.88024998,25.00000000
17.581350,10.19824886,25.00000000
17.674488,9.65575027,25.00000000
17.766898,9.58599854,25.00000000
17.878798,10.55474854,25.00000000
17.971708,11.51574993,25.00000000
18.062386,12.11250019,25.00000000
18.177256,12.78674889,25.00000000
18.271112,13.08899975,25.00000000
18.366046,13.31374931,25.00000000
18.479104,13.22850037,25.00000000
18.573075,12.92624950,25.00000000
18.670284,12.75574875,25.00000000
18.763698,11.19024944,25.00000000
18.878156,9.95024872,25.00000000
18.970052,9.81074905,25.00000000
19.062936,9.81074905,25.00000000
19.174618,10.25249958,25.00000000
19.267513,11.78699875,25.00000000
19.378562,12.33724976,25.00000000
19.470264,15.11175060,25.00000000
19.582369,18.07224846,25.00000000
19.674218,18.07224846,25.00000000
19.781508,18.07224846,25.00000000
19.874456,16.77799988,25.00000000
19.969071,12.80999947,25.00000000
20.081279,11.62424946,25.00000000
20.173706,11.09724903,25.00000000
20.263999,11.08174896,25.00000000
20.375140,11.56224918,25.00000000
20.466619,13.02700043,25.00000000
