Time(s),StartByte(2),PayloadSize(#ofBytes),Command,Payload2,Payload3,Payload4,Payload5,CRCByte1,CRCByte2,EndByte(3)
0.102162,2,5,6,0,0,0,0,205,133,3,
0.120419,2,5,6,0,0,0,0,205,133,3,
0.136631,2,5,6,0,0,0,0,205,133,3,
0.150258,2,5,6,0,0,0,0,205,133,3,
0.159603,2,5,6,0,0,0,0,205,133,3,
0.167584,2,5,6,0,0,0,0,205,133,3,
0.183042,2,5,6,0,0,0,0,205,133,3,
0.189459,2,5,6,0,0,0,0,205,133,3,
0.201970,2,5,6,0,0,0,0,205,133,3,
0.209367,2,5,6,0,0,0,0,205,133,3,
0.227092,2,5,6,0,0,0,0,205,133,3,
0.234057,2,5,6,0,0,0,0,205,133,3,
0.258674,2,5,6,0,0,0,0,205,133,3,
0.357602,2,5,6,0,0,0,0,205,133,3,
0.472818,2,5,6,0,0,0,0,205,133,3,
0.559464,2,5,6,0,0,0,0,205,133,3,
0.676628,2,5,6,0,0,0,0,205,133,3,
0.762138,2,5,6,0,0,0,0,205,133,3,
0.865663,2,5,6,0,0,0,0,205,133,3,
0.967626,2,5,6,0,0,0,0,205,133,3,
1.072800,2,5,6,0,0,0,0,205,133,3,
1.170786,2,5,6,0,0,0,0,205,133,3,
1.270826,2,5,6,0,0,0,0,205,133,3,
1.371779,2,5,6,0,0,0,0,205,133,3,
1.470977,2,5,6,0,0,0,0,205,133,3,
1.570283,2,5,6,0,0,0,0,205,133,3,
1.671634,2,5,6,0,0,0,0,205,133,3,
1.772466,2,5,6,0,0,0,0,205,133,3,
1.874570,2,5,6,0,0,0,0,205,133,3,
1.974155,2,5,6,0,0,0,0,205,133,3,
2.057485,2,5,6,0,0,0,0,205,133,3,
2.166925,2,5,6,0,0,0,0,205,133,3,
2.270427,2,5,6,0,0,0,0,205,133,3,
2.374721,2,5,6,0,0,0,0,205,133,3,
2.458640,2,5,6,0,0,0,0,205,133,3,
2.558457,2,5,6,0,0,0,0,205,133,3,
2.660204,2,5,6,0,0,0,0,205,133,3,
2.764650,2,5,6,0,0,0,0,205,133,3,
2.866708,2,5,6,0,0,0,0,205,133,3,
2.960841,2,5,6,0,0,0,0,205,133,3,
3.067680,2,5,6,0,0,0,0,205,133,3,
3.169161,2,5,6,0,0,0,0,205,133,3,
3.258455,2,5,6,0,0,0,0,205,133,3,
3.365827,2,5,6,0,0,0,0,205,133,3,
3.471040,2,5,6,0,0,0,0,205,133,3,
3.565767,2,5,6,0,0,0,0,205,133,3,
3.664233,2,5,6,0,0,0,0,205,133,3,
3.758819,2,5,6,0,0,0,0,205,133,3,
3.870836,2,5,6,0,0,0,0,205,133,3,
3.966774,2,5,6,0,0,0,0,205,133,3,
4.061534,2,5,6,0,0,0,0,205,133,3,
4.157772,2,5,6,0,0,0,0,205,133,3,
4.256227,2,5,6,0,0,0,0,205,133,3,
4.371376,2,5,6,0,0,0,0,205,133,3,
4.466940,2,5,6,0,0,0,0,205,133,3,
4.560517,2,5,6,0,0,0,0,205,133,3,
4.657514,2,5,6,0,0,0,0,205,133,3,
4.768443,2,5,6,0,0,0,0,205,133,3,
4.864124,2,5,6,0,0,0,0,205,133,3,
4.957666,2,5,6,0,0,0,0,205,133,3,
5.071882,2,5,6,0,0,0,0,205,133,3,
5.163613,2,5,6,0,0,0,0,205,133,3,
5.259771,2,5,6,0,0,0,0,205,133,3,
5.374277,2,5,6,0,0,0,0,205,133,3,
5.467966,2,5,6,0,0,0,0,205,133,3,
5.560159,2,5,6,0,0,0,0,205,133,3,
5.674434,2,5,6,0,0,0,0,205,133,3,
5.758655,2,5,6,0,0,0,0,205,133,3,
5.874506,2,5,6,0,0,0,0,205,133,3,
5.968124,2,5,6,0,0,0,0,205,133,3,
6.064309,2,5,6,0,0,0,0,205,133,3,
6.157800,2,5,6,0,0,0,0,205,133,3,
6.274042,2,5,6,0,0,0,0,205,133,3,
6.368605,2,5,6,0,0,0,0,205,133,3,
6.462771,2,5,6,0,0,0,0,205,133,3,
6.559162,2,5,6,0,0,0,0,205,133,3,
6.671127,2,5,6,0,0,0,0,205,133,3,
6.763852,2,5,6,0,0,0,0,205,133,3,
6.859170,2,5,6,0,0,0,0,205,133,3,
6.973121,2,5,6,0,0,0,0,205,133,3,
7.065363,2,5,6,0,0,0,0,205,133,3,
7.159665,2,5,6,0,0,0,0,205,133,3,
7.273581,2,5,6,0,0,0,0,205,133,3,
7.368182,2,5,6,0,0,0,0,205,133,3,
7.463706,2,5,6,0,0,0,0,205,133,3,
7.558714,2,5,6,0,0,0,0,205,133,3,
7.672193,2,5,6,0,0,0,0,205,133,3,
7.767455,2,5,6,0,0,0,0,205,133,3,
7.864515,2,5,6,0,0,0,0,205,133,3,
7.957218,2,5,6,0,0,0,0,205,133,3,
8.072038,2,5,6,0,0,0,0,205,133,3,
8.165628,2,5,6,0,0,0,0,205,133,3,
8.261789,2,5,6,0,0,0,0,205,133,3,
8.359558,2,5,6,0,0,0,0,205,133,3,
8.473417,2,5,6,0,0,0,0,205,133,3,
8.567976,2,5,6,0,0,0,0,205,133,3,
8.662618,2,5,6,0,0,0,0,205,133,3,
8.756186,2,5,6,0,0,0,0,205,133,3,
8.870145,2,5,6,0,0,0,0,205,133,3,
8.963061,2,5,6,0,0,0,0,205,133,3,
9.057286,2,5,6,0,0,0,0,205,133,3,
9.170835,2,5,6,0,0,0,0,205,133,3,
9.265841,2,5,6,0,0,0,0,205,133,3,
9.360285,2,5,6,0,0,0,0,205,133,3,
