INFO:root:2016-12-22 11:31:03.948042: Starting Speed Datalog.
INFO:root:2016-12-22 11:31:03.950038: Integer Speed =10.
INFO:root:2016-12-22 11:31:03.951208: Decimal Speed =6.
INFO:root:2016-12-22 11:31:04.052128: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:04.053412: Integer Speed =10.
INFO:root:2016-12-22 11:31:04.054334: Decimal Speed =6.
INFO:root:2016-12-22 11:31:04.155424: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:04.156389: Integer Speed =9.
INFO:root:2016-12-22 11:31:04.156760: Decimal Speed =989.
INFO:root:2016-12-22 11:31:04.257216: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:04.258103: Integer Speed =9.
INFO:root:2016-12-22 11:31:04.258361: Decimal Speed =989.
INFO:root:2016-12-22 11:31:04.358781: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:04.359664: Integer Speed =10.
INFO:root:2016-12-22 11:31:04.359915: Decimal Speed =6.
INFO:root:2016-12-22 11:31:04.460383: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:04.461415: Integer Speed =10.
INFO:root:2016-12-22 11:31:04.461883: Decimal Speed =6.
INFO:root:2016-12-22 11:31:04.562454: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:04.563424: Integer Speed =10.
INFO:root:2016-12-22 11:31:04.563812: Decimal Speed =6.
INFO:root:2016-12-22 11:31:04.664357: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:04.665312: Integer Speed =9.
INFO:root:2016-12-22 11:31:04.665602: Decimal Speed =989.
INFO:root:2016-12-22 11:31:04.766021: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:04.766892: Integer Speed =9.
INFO:root:2016-12-22 11:31:04.767147: Decimal Speed =989.
INFO:root:2016-12-22 11:31:04.867587: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:04.868998: Integer Speed =10.
INFO:root:2016-12-22 11:31:04.870055: Decimal Speed =6.
INFO:root:2016-12-22 11:31:04.971332: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:04.972332: Integer Speed =10.
INFO:root:2016-12-22 11:31:04.972737: Decimal Speed =6.
INFO:root:2016-12-22 11:31:05.073203: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:05.074183: Integer Speed =10.
INFO:root:2016-12-22 11:31:05.074651: Decimal Speed =6.
INFO:root:2016-12-22 11:31:05.175236: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:05.176160: Integer Speed =9.
INFO:root:2016-12-22 11:31:05.176467: Decimal Speed =989.
INFO:root:2016-12-22 11:31:05.276953: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:05.278165: Integer Speed =9.
INFO:root:2016-12-22 11:31:05.278617: Decimal Speed =989.
INFO:root:2016-12-22 11:31:05.379288: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:05.380510: Integer Speed =9.
INFO:root:2016-12-22 11:31:05.381146: Decimal Speed =989.
INFO:root:2016-12-22 11:31:05.481876: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:05.482964: Integer Speed =9.
INFO:root:2016-12-22 11:31:05.483551: Decimal Speed =989.
INFO:root:2016-12-22 11:31:05.584021: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:05.584936: Integer Speed =10.
INFO:root:2016-12-22 11:31:05.585195: Decimal Speed =6.
INFO:root:2016-12-22 11:31:05.685637: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:05.686587: Integer Speed =10.
INFO:root:2016-12-22 11:31:05.693284: Decimal Speed =6.
INFO:root:2016-12-22 11:31:05.793796: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:05.794712: Integer Speed =10.
INFO:root:2016-12-22 11:31:05.794973: Decimal Speed =6.
INFO:root:2016-12-22 11:31:05.895415: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:05.896344: Integer Speed =10.
INFO:root:2016-12-22 11:31:05.896600: Decimal Speed =6.
INFO:root:2016-12-22 11:31:05.997029: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:05.997946: Integer Speed =10.
INFO:root:2016-12-22 11:31:05.998206: Decimal Speed =6.
INFO:root:2016-12-22 11:31:06.098648: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:06.099576: Integer Speed =10.
INFO:root:2016-12-22 11:31:06.099834: Decimal Speed =6.
INFO:root:2016-12-22 11:31:06.200262: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:06.201178: Integer Speed =10.
INFO:root:2016-12-22 11:31:06.201473: Decimal Speed =6.
INFO:root:2016-12-22 11:31:06.301925: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:06.302855: Integer Speed =10.
INFO:root:2016-12-22 11:31:06.303152: Decimal Speed =6.
INFO:root:2016-12-22 11:31:06.403610: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:06.404591: Integer Speed =9.
INFO:root:2016-12-22 11:31:06.404966: Decimal Speed =989.
INFO:root:2016-12-22 11:31:06.505444: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:06.506382: Integer Speed =9.
INFO:root:2016-12-22 11:31:06.506646: Decimal Speed =989.
INFO:root:2016-12-22 11:31:06.607084: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:06.608006: Integer Speed =10.
INFO:root:2016-12-22 11:31:06.608267: Decimal Speed =6.
INFO:root:2016-12-22 11:31:06.708757: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:06.709799: Integer Speed =10.
INFO:root:2016-12-22 11:31:06.710226: Decimal Speed =6.
INFO:root:2016-12-22 11:31:06.810742: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:06.811695: Integer Speed =10.
INFO:root:2016-12-22 11:31:06.811987: Decimal Speed =6.
INFO:root:2016-12-22 11:31:06.912434: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:06.913345: Integer Speed =10.
INFO:root:2016-12-22 11:31:06.913630: Decimal Speed =6.
INFO:root:2016-12-22 11:31:07.014086: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:07.015018: Integer Speed =10.
INFO:root:2016-12-22 11:31:07.015331: Decimal Speed =6.
INFO:root:2016-12-22 11:31:07.115771: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:07.116698: Integer Speed =9.
INFO:root:2016-12-22 11:31:07.116962: Decimal Speed =989.
INFO:root:2016-12-22 11:31:07.217397: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:07.218317: Integer Speed =10.
INFO:root:2016-12-22 11:31:07.218573: Decimal Speed =6.
INFO:root:2016-12-22 11:31:07.319002: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:07.319919: Integer Speed =10.
INFO:root:2016-12-22 11:31:07.320176: Decimal Speed =6.
INFO:root:2016-12-22 11:31:07.420605: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:07.421566: Integer Speed =10.
INFO:root:2016-12-22 11:31:07.421832: Decimal Speed =6.
INFO:root:2016-12-22 11:31:07.522265: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:07.523181: Integer Speed =9.
INFO:root:2016-12-22 11:31:07.523431: Decimal Speed =989.
INFO:root:2016-12-22 11:31:07.623862: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:07.624778: Integer Speed =9.
INFO:root:2016-12-22 11:31:07.625033: Decimal Speed =989.
INFO:root:2016-12-22 11:31:07.725463: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:07.726381: Integer Speed =9.
INFO:root:2016-12-22 11:31:07.726638: Decimal Speed =989.
INFO:root:2016-12-22 11:31:07.827068: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:07.827982: Integer Speed =9.
INFO:root:2016-12-22 11:31:07.828241: Decimal Speed =989.
INFO:root:2016-12-22 11:31:07.928671: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:07.929578: Integer Speed =10.
INFO:root:2016-12-22 11:31:07.929832: Decimal Speed =6.
INFO:root:2016-12-22 11:31:08.030339: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:08.031428: Integer Speed =10.
INFO:root:2016-12-22 11:31:08.031857: Decimal Speed =23.
INFO:root:2016-12-22 11:31:08.132355: Actual Speed =10.023.
INFO:root:2016-12-22 11:31:08.133252: Integer Speed =10.
INFO:root:2016-12-22 11:31:08.133523: Decimal Speed =6.
INFO:root:2016-12-22 11:31:08.233942: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:08.234834: Integer Speed =9.
INFO:root:2016-12-22 11:31:08.235092: Decimal Speed =989.
INFO:root:2016-12-22 11:31:08.335508: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:08.336400: Integer Speed =9.
INFO:root:2016-12-22 11:31:08.336658: Decimal Speed =989.
INFO:root:2016-12-22 11:31:08.437071: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:08.437958: Integer Speed =10.
INFO:root:2016-12-22 11:31:08.438217: Decimal Speed =6.
INFO:root:2016-12-22 11:31:08.538630: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:08.539514: Integer Speed =9.
INFO:root:2016-12-22 11:31:08.539771: Decimal Speed =989.
INFO:root:2016-12-22 11:31:08.640185: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:08.641074: Integer Speed =10.
INFO:root:2016-12-22 11:31:08.641335: Decimal Speed =6.
INFO:root:2016-12-22 11:31:08.741752: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:08.742690: Integer Speed =10.
INFO:root:2016-12-22 11:31:08.742959: Decimal Speed =6.
INFO:root:2016-12-22 11:31:08.843376: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:08.844269: Integer Speed =10.
INFO:root:2016-12-22 11:31:08.844529: Decimal Speed =6.
INFO:root:2016-12-22 11:31:08.944948: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:08.945836: Integer Speed =9.
INFO:root:2016-12-22 11:31:08.946099: Decimal Speed =989.
INFO:root:2016-12-22 11:31:09.046514: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:09.047403: Integer Speed =9.
INFO:root:2016-12-22 11:31:09.047662: Decimal Speed =989.
INFO:root:2016-12-22 11:31:09.148076: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:09.148980: Integer Speed =10.
INFO:root:2016-12-22 11:31:09.149251: Decimal Speed =6.
INFO:root:2016-12-22 11:31:09.249670: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:09.250564: Integer Speed =9.
INFO:root:2016-12-22 11:31:09.250825: Decimal Speed =768.
INFO:root:2016-12-22 11:31:09.351296: Actual Speed =9.768.
INFO:root:2016-12-22 11:31:09.352181: Integer Speed =10.
INFO:root:2016-12-22 11:31:09.352443: Decimal Speed =6.
INFO:root:2016-12-22 11:31:09.452859: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:09.453737: Integer Speed =10.
INFO:root:2016-12-22 11:31:09.454001: Decimal Speed =6.
INFO:root:2016-12-22 11:31:09.554491: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:09.565436: Integer Speed =10.
INFO:root:2016-12-22 11:31:09.565934: Decimal Speed =6.
INFO:root:2016-12-22 11:31:09.666460: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:09.667388: Integer Speed =9.
INFO:root:2016-12-22 11:31:09.667686: Decimal Speed =989.
INFO:root:2016-12-22 11:31:09.768125: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:09.769059: Integer Speed =10.
INFO:root:2016-12-22 11:31:09.769322: Decimal Speed =6.
INFO:root:2016-12-22 11:31:09.869762: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:09.870714: Integer Speed =10.
INFO:root:2016-12-22 11:31:09.871025: Decimal Speed =6.
INFO:root:2016-12-22 11:31:09.971471: Actual Speed =10.006.
INFO:root:2016-12-22 11:31:09.972395: Integer Speed =9.
INFO:root:2016-12-22 11:31:09.972692: Decimal Speed =989.
INFO:root:2016-12-22 11:31:10.073140: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:10.074082: Integer Speed =9.
INFO:root:2016-12-22 11:31:10.074349: Decimal Speed =989.
INFO:root:2016-12-22 11:31:10.174782: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:10.175708: Integer Speed =9.
INFO:root:2016-12-22 11:31:10.176008: Decimal Speed =989.
INFO:root:2016-12-22 11:31:10.276492: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:10.277711: Integer Speed =9.
INFO:root:2016-12-22 11:31:10.278179: Decimal Speed =989.
INFO:root:2016-12-22 11:31:10.378818: Actual Speed =9.989.
INFO:root:2016-12-22 11:31:10.379763: Integer Speed =10.
INFO:root:2016-12-22 11:31:10.380148: Decimal Speed =6.
INFO:root:2016-12-22 11:31:10.480605: Actual Speed =10.006.
