INFO:root:2016-12-22 11:50:12.190372: Starting Speed Datalog.
INFO:root:2016-12-22 11:50:12.191917: Integer Speed =20.
INFO:root:2016-12-22 11:50:12.192457: Decimal Speed =361.
INFO:root:2016-12-22 11:50:12.193020: Actual Speed =20.361.
INFO:root:2016-12-22 11:50:12.193898: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.194298: Decimal Speed =303.
INFO:root:2016-12-22 11:50:12.194722: Actual Speed =0.303.
INFO:root:2016-12-22 11:50:12.195615: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.196297: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.197009: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.198095: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.198578: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.199042: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.199894: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.200327: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.200780: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.202181: Integer Speed =15.
INFO:root:2016-12-22 11:50:12.202588: Decimal Speed =22.
INFO:root:2016-12-22 11:50:12.202932: Actual Speed =15.022.
INFO:root:2016-12-22 11:50:12.203643: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.203917: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.204196: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.204817: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.205062: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.205318: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.207612: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.208180: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.208490: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.209130: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.209375: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.209613: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.210219: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.210455: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.210685: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.211355: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.211666: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.211910: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.212522: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.212761: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.212994: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.213591: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.213826: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.214059: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.214662: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.214898: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.215134: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.215741: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.215983: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.216214: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.216816: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.217048: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.217276: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.217874: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.218108: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.218336: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.218949: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.219194: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.219426: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.220029: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.220262: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.220484: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.221072: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.221291: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.221509: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.222085: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.222377: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.222651: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.223250: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.223486: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.223737: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.224360: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.224641: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.224947: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.225591: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.225883: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.226163: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.226787: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.227008: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.227229: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.227799: Integer Speed =3840.
INFO:root:2016-12-22 11:50:12.228006: Decimal Speed =5632.
INFO:root:2016-12-22 11:50:12.228226: Actual Speed =3845.632.
INFO:root:2016-12-22 11:50:12.228798: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.229009: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.229220: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.229836: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.230140: Decimal Speed =0.
