type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,ACTIVE LOG,40.78966141,-77.85948515,4627251.76270444,1779451.21349775,True,False,255,358.228393554688,0,0,2008/06/11-14:08:30,eTrex Venture, ,2008/06/11 09:08:30
TRACK,ACTIVE LOG,40.78963995,-77.85954952,4627248.40489401,1779446.18060893,False,False,255,358.228393554688,0,0,2008/06/11-14:09:43,eTrex Venture, ,2008/06/11 09:09:43
TRACK,ACTIVE LOG,40.78961849,-77.85957098,4627245.69008772,1779444.78476531,False,False,255,357.747802734375,0,0,2008/06/11-14:09:44,eTrex Venture, ,2008/06/11 09:09:44
TRACK,ACTIVE LOG,40.78953266,-77.85965681,4627234.83213242,1779439.20202706,False,False,255,353.421875,0,0,2008/06/11-14:10:18,eTrex Venture, ,2008/06/11 09:10:18
TRACK,ACTIVE LOG,40.78957558,-77.85972118,4627238.65402635,1779432.89982442,False,False,255,356.786376953125,0,0,2008/06/11-14:11:57,eTrex Venture, ,2008/06/11 09:11:57
TRACK,ACTIVE LOG,40.78968287,-77.85976410,4627249.97592111,1779427.14663093,False,False,255,354.383178710938,0,0,2008/06/11-14:12:18,eTrex Venture, ,2008/06/11 09:12:18
TRACK,ACTIVE LOG,40.78979015,-77.85961390,4627264.19055204,1779437.76243578,False,False,255,351.499145507813,0,0,2008/06/11-14:12:50,eTrex Venture, ,2008/06/11 09:12:50
TRACK,ACTIVE LOG,40.78983307,-77.85961390,4627268.97701256,1779436.91622722,False,False,255,357.747802734375,0,0,2008/06/11-14:14:24,eTrex Venture, ,2008/06/11 09:14:24
TRACK,ACTIVE LOG,40.78987598,-77.85950661,4627275.37008691,1779445.16407113,False,False,255,360.151123046875,0,0,2008/06/11-14:14:35,eTrex Venture, ,2008/06/11 09:14:35
TRACK,ACTIVE LOG,40.78996181,-77.85946369,4627285.58504744,1779447.10971155,False,False,255,357.747802734375,0,0,2008/06/11-14:14:47,eTrex Venture, ,2008/06/11 09:14:47
TRACK,ACTIVE LOG,40.79011202,-77.85957098,4627300.72880585,1779435.05431356,False,False,255,350.057250976563,0,0,2008/06/11-14:15:10,eTrex Venture, ,2008/06/11 09:15:10
TRACK,ACTIVE LOG,40.79015493,-77.85954952,4627305.83572582,1779436.02722689,False,False,255,353.902587890625,0,0,2008/06/11-14:15:45,eTrex Venture, ,2008/06/11 09:15:45
TRACK,ACTIVE LOG,40.79015493,-77.85950661,4627306.47872977,1779439.66424433,False,False,255,357.747802734375,0,0,2008/06/11-14:16:21,eTrex Venture, ,2008/06/11 09:16:21
